id,name,lat,lon,idname
TKD,Takoradi,4.895556,-1.774722,TKD (Takoradi)
KYZ,Kyzyl,51.673333,94.408056,KYZ (Kyzyl)
CIU,Chippewa County International,46.250833,-84.4725,CIU (Chippewa County International)
CIT,Shymkent International,42.364167,69.478889,CIT (Shymkent International)
TKE,Tenakee Seaplane Base,57.779444,-135.21722,TKE (Tenakee Seaplane Base)
TKG,Radin Inten II International,-5.242222,105.178889,TKG (Radin Inten II International)
TKJ,Tok,63.329722,-142.95444,TKJ (Tok)
CIY,Comiso,36.994722,14.606944,CIY (Comiso)
CIX,FAP Captain José Abelardo Quiñones Gonzáles International,-6.7875,-79.828056,CIX (FAP Captain José Abelardo Quiñones Gonzáles International)
TKK,Chuuk International,7.461944,151.843056,TKK (Chuuk International)
TKN,Tokunoshima,27.836389,128.881389,TKN (Tokunoshima)
TKP,Takapoto,-14.709444,-145.24583,TKP (Takapoto)
CJB,Coimbatore International,11.03,77.043333,CJB (Coimbatore International)
TKQ,Kigoma,-4.888056,29.671667,TKQ (Kigoma)
CJA,Mayor General FAP Armando Revoredo Iglesias,-7.139167,-78.489444,CJA (Mayor General FAP Armando Revoredo Iglesias)
KZI,Kozani National,40.286111,21.840833,KZI (Kozani National)
TKS,Tokushima,34.132778,134.606667,TKS (Tokushima)
CJC,El Loa,-22.498056,-68.908056,CJC (El Loa)
CJF,Coondewanna,-22.965,118.8125,CJF (Coondewanna)
TKV,Tatakoto,-17.355556,-138.44861,TKV (Tatakoto)
KZN,Kazan International,55.606111,49.278611,KZN (Kazan International)
TKU,Turku,60.514167,22.262778,TKU (Turku)
TKX,Takaroa,-14.455833,-145.02444,TKX (Takaroa)
KZO,Kyzylorda,44.7075,65.592222,KZO (Kyzylorda)
KZR,Zafer,39.108436,30.136226,KZR (Zafer)
CJJ,Cheongju International,36.716667,127.499167,CJJ (Cheongju International)
CJL,Chitral,35.886667,71.800556,CJL (Chitral)
KZS,Kastellorizo,36.141944,29.576389,KZS (Kastellorizo)
CJM,Chumphon,10.711389,99.361667,CJM (Chumphon)
TLA,Teller,65.240278,-166.33778,TLA (Teller)
TLC,Toluca International,19.336944,-99.566111,TLC (Toluca International)
TLE,Toliara,-23.383333,43.728333,TLE (Toliara)
CJS,Ciudad Juárez International,31.636111,-106.42861,CJS (Ciudad Juárez International)
CJU,Jeju International,33.511389,126.493056,CJU (Jeju International)
TLI,Sultan Bantilan,1.123611,120.793333,TLI (Sultan Bantilan)
TLH,Tallahassee International,30.391667,-84.349722,TLH (Tallahassee International)
TLK,Talakan,59.881667,111.045556,TLK (Talakan)
TLM,Zenata – Messali El Hadj,35.013333,-1.457778,TLM (Zenata – Messali El Hadj)
TLL,Tallinn,59.413333,24.8325,TLL (Tallinn)
TLN,Toulon–Hyères,43.097222,6.146111,TLN (Toulon–Hyères)
TLQ,Turpan Jiaohe,43.030278,89.097222,TLQ (Turpan Jiaohe)
TLS,Toulouse–Blagnac,43.635,1.367778,TLS (Toulouse–Blagnac)
CKB,North Central West Virginia,39.296667,-80.228056,CKB (North Central West Virginia)
TLU,Golfo de Morrosquillo,9.5,-75.616667,TLU (Golfo de Morrosquillo)
CKD,Crooked Creek,61.866667,-158.13333,CKD (Crooked Creek)
TLT,Tuluksak,61.097778,-160.96806,TLT (Tuluksak)
CKG,Chongqing Jiangbei International,29.719444,106.641944,CKG (Chongqing Jiangbei International)
TLV,Ben Gurion,32.007222,34.880556,TLV (Ben Gurion)
TLY,Plastun,44.814722,136.291667,TLY (Plastun)
CKH,Chokurdakh,70.624444,147.896667,CKH (Chokurdakh)
CKS,Carajás,-6.117778,-50.003611,CKS (Carajás)
TMC,Tambolaka,-9.409722,119.244444,TMC (Tambolaka)
TME,Gabriel Vargas Santos,6.451111,-71.759722,TME (Gabriel Vargas Santos)
TMJ,Termez,37.286667,67.31,TMJ (Termez)
CKY,Conakry International,9.576944,-13.611944,CKY (Conakry International)
TMI,Tumlingtar,27.316667,87.193333,TMI (Tumlingtar)
TML,Tamale,9.557222,-0.863333,TML (Tamale)
CKZ,Çanakkale,40.137778,26.426667,CKZ (Çanakkale)
TMM,Toamasina,-18.109444,49.3925,TMM (Toamasina)
TMP,Tampere–Pirkkala,61.414167,23.604444,TMP (Tampere–Pirkkala)
TMR,Aguenar – Hadj Bey Akhamok,22.811389,5.451111,TMR (Aguenar – Hadj Bey Akhamok)
CLD,McClellan–Palomar,33.128333,-117.28,CLD (McClellan–Palomar)
TMS,São Tomé International,0.378056,6.712222,TMS (São Tomé International)
TMU,Tambor,9.739722,-85.016944,TMU (Tambor)
